n_du_site;latitude_du_site;longitude_du_site;altitude_du_site;altitude_du_site_ign;nom_du_site;commune;departement;region;pays;numero_de_maille_drias;numero_de_maille_safran
172504;45.62375;7.143632;1545;NA;rhemes_creton;Rhêmes-Saint-Georges;Rhêmes-Saint-Georges;Vallée d'Aoste;Italie;NA;NA
172505;45.45503;7.304104;1240;NA;orco_balmarossa;Turin;Turin;Piémont;Italie;NA;NA
172506;45.43597;7.260189;1490;NA;orco_prese;Turin;Turin;Piémont;Italie;NA;NA
172507;45.43382;7.246497;1520;NA;orco_cabianca;Turin;Turin;Piémont;Italie;NA;NA
172508;45.49521;7.53228;940;NA;soana_convento;Turin;Turin;Piémont;Italie;NA;NA
172509;45.50167;7.506357;1035;NA;soana_lasinetto;Turin;Turin;Piémont;Italie;NA;NA
172510;45.51307;7.487622;1150;NA;soana_molino;Turin;Turin;Piémont;Italie;NA;NA
172511;45.62964;7.319759;1430;NA;cogne_treinez;Cogne;Cogne;Vallée d'Aoste;Italie;NA;NA
172512;42.61733;2.106839;1530;1484;Mon quartier;Formiguères;Pyrénées-Orientales;Occitanie;France;2210;9697
172513;45.6289;7.315973;1510;NA;cogne_raverotta;Cogne;Cogne;Vallée d'Aoste;Italie;NA;NA
172514;45.62906;7.314031;1605;NA;cogne_grandzetta;Cogne;Cogne;Vallée d'Aoste;Italie;NA;NA
172516;45.66422;7.690858;390;NA;rougequeue;Torille;Verrès;Vallée d'Aoste;Italie;NA;NA
172517;46.01485;6.762074;1345;1378;villaret;Sixt-Fer-à-Cheval;Haute-Savoie;Auvergne-Rhône-Alpes;France;9119;6013
172518;46.0974;6.848437;1024;1034;combe;Sixt-Fer-à-Cheval;Haute-Savoie;Auvergne-Rhône-Alpes;France;9263;5923
172519;46.10304;6.845497;1373;1384;boret;Sixt-Fer-à-Cheval;Haute-Savoie;Auvergne-Rhône-Alpes;France;9263;5923
172520;45.74931;6.08973;650;629;salade;Allèves;Haute-Savoie;Auvergne-Rhône-Alpes;France;8541;6345
172521;44.79292;6.559092;1170;976;salicorne;L'Argentière-la-Bessée;Hautes-Alpes;Provence-Alpes-Côte d'Azur;France;6687;7405
172522;44.61344;6.52092;984;983;sanglier;Châteauroux-les-Alpes;Hautes-Alpes;Provence-Alpes-Côte d'Azur;France;6401;7572
172523;46.06775;6.291046;640;646;sarrasin;Etaux;Haute-Savoie;Auvergne-Rhône-Alpes;France;9258;5918
172524;46.40358;6.517429;379;373;Delta de la Dranse;Publier;Haute-Savoie;Auvergne-Rhône-Alpes;France;9832;5552
